hex_ident,altitude(meter),latitude,longitude,date,time,angle,distance(kilometer),squawk,ground_speed(kilometerph),track,callsign
78022D,10052,50.04407,7.84164,2019/01/10,13:24:59.818,-44.71,13.13,,,,
E48DF6,2139,50.00637,7.93094,2019/01/10,13:24:59.883,-10.87,6.82,,459,114,
4A09AD,10661,49.94705,7.74876,2019/01/10,13:24:59.884,-89.52,13.9,5243,713,109,
E48DF6,2132,50.00592,7.93256,2019/01/10,13:25:00.867,-9.52,6.75,,459,114,
78022D,10052,50.04414,7.84655,2019/01/10,13:25:01.654,-43.27,12.95,5647,,,
4A09AD,10661,49.94591,7.75396,2019/01/10,13:25:02.046,-89.87,13.53,5243,713,109,
78022D,10052,50.04421,7.84929,2019/01/10,13:25:02.702,-42.42,12.85,5647,,,
78022D,10052,50.04424,7.85204,2019/01/10,13:25:03.621,-41.57,12.76,5647,,,CPA260  
4A09AD,10661,49.94459,7.75969,2019/01/10,13:25:04.077,-90.29,13.12,5243,713,109,
4A09AD,10661,49.94413,7.76177,2019/01/10,13:25:04.997,-90.45,12.97,5243,713,109,
78022D,10052,50.04433,7.85754,2019/01/10,13:25:05.586,-39.78,12.57,5647,709,88,CPA260  
4D2130,13098,50.20840,7.24385,2019/01/10,13:25:05.587,-68.61,57.82,,,,
4A09AD,10661,49.94353,7.76437,2019/01/10,13:25:05.979,-90.65,12.79,5243,713,109,
E48DF6,2094,50.00311,7.94193,2019/01/10,13:25:06.701,-1.11,6.4,,459,114,TAM8070 
4A09AD,10661,49.94292,7.76696,2019/01/10,13:25:06.962,-90.87,12.6,5243,713,109,
E48DF6,2086,50.00262,7.94355,2019/01/10,13:25:07.683,0.43,6.34,,459,114,TAM8070 
4A09AD,10661,49.94222,7.77008,2019/01/10,13:25:08.077,-91.13,12.38,5243,713,109,
78022D,10052,50.04445,7.86577,2019/01/10,13:25:08.666,-36.92,12.31,5647,709,88,CPA260  
4D2130,13098,50.20656,7.25329,2019/01/10,13:25:08.731,-68.48,57.14,5217,,,
4A09AD,10661,49.94160,7.77268,2019/01/10,13:25:09.059,-91.36,12.2,5243,713,109,
E48DF6,2079,50.00171,7.94680,2019/01/10,13:25:09.714,3.62,6.25,,459,114,TAM8070 
