hex_ident,altitude(meter),latitude,longitude,date,time,angle,distance(kilometer),squawk,ground_speed(kilometerph),track,callsign
76CD74,4165,50.12894,7.64032,2019/01/11,09:43:05.761,-57.77,29.72,,,,
76CD74,4051,50.12954,7.72265,2019/01/11,09:43:40.759,-49.03,25.81,1144,616,88,
76CD74,4043,50.12956,7.72679,2019/01/11,09:43:42.595,-48.48,25.63,1144,616,88,
hex_ident,altitude(meter),latitude,longitude,date,time,angle,distance(kilometer),squawk,ground_speed(kilometerph),track,callsign
4009DB,11278,49.76756,7.18246,2019/01/11,09:52:21.405,-103.63,58,,,,
4009DB,11278,49.76372,7.19373,2019/01/11,09:52:25.466,-104.12,57.39,7574,,,
4009DB,11278,49.76271,7.19649,2019/01/11,09:52:26.450,-104.24,57.25,7574,,,
4009DB,11278,49.76157,7.19915,2019/01/11,09:52:27.563,-104.38,57.12,7574,,,
4009DB,11278,49.76051,7.20262,2019/01/11,09:52:28.613,-104.52,56.93,7574,,,
4009DB,11278,49.75950,7.20540,2019/01/11,09:52:29.661,-104.65,56.78,7574,,,
4CA643,10920,50.35840,7.43717,2019/01/11,09:52:42.836,-49.65,58.36,2254,766,96,RYR10JF 
4CA979,11575,49.76606,7.27043,2019/01/11,09:52:47.817,-105.47,52.18,2350,757,72,
4009DB,11278,49.73364,7.27692,2019/01/11,09:52:55.418,-108.26,53.26,7574,824,119,BAW59T  
4009DB,11278,49.73264,7.27970,2019/01/11,09:52:56.402,-108.42,53.13,7574,824,119,BAW59T  
4009DB,11278,49.73167,7.28249,2019/01/11,09:52:57.451,-108.57,53,7574,824,119,BAW59T  
4009DB,11278,49.72765,7.29355,2019/01/11,09:53:01.449,-109.19,52.5,7574,824,119,BAW59T  
4CA979,11575,49.77752,7.32862,2019/01/11,09:53:08.592,-105.84,47.84,2350,757,72,RYR8XP  
44A88C,10608,49.87388,7.50945,2019/01/11,09:53:16.457,-99.72,32.05,,,,
44A88C,10661,49.86797,7.53425,2019/01/11,09:53:24.321,-101.13,30.52,,,,
4CA979,11575,49.78720,7.37776,2019/01/11,09:53:26.223,-106.2,44.17,2350,757,73,RYR8XP  
4CA979,11575,49.78816,7.38274,2019/01/11,09:53:28.058,-106.25,43.8,2350,757,73,RYR8XP  
4CA979,11575,49.78967,7.39062,2019/01/11,09:53:30.941,-106.32,43.22,2350,755,73,RYR8XP  
4CA979,11575,49.79077,7.39618,2019/01/11,09:53:32.777,-106.36,42.8,2350,755,73,RYR8XP  
4CA979,11575,49.79218,7.40345,2019/01/11,09:53:35.462,-106.43,42.26,2350,755,73,RYR8XP  
44A88C,10730,49.85917,7.57106,2019/01/11,09:53:35.921,-103.55,28.32,115,,,JAF451  
44A88C,10737,49.85768,7.57737,2019/01/11,09:53:37.888,-104,27.95,115,875,110,JAF451  
4CA979,11575,49.79430,7.41404,2019/01/11,09:53:39.199,-106.52,41.47,2350,755,73,RYR8XP  
44A88C,10745,49.85605,7.58404,2019/01/11,09:53:39.985,-104.5,27.57,115,875,110,JAF451  
4CA979,11575,49.79525,7.41904,2019/01/11,09:53:41.165,-106.57,41.1,2350,755,73,RYR8XP  
44A88C,10753,49.85479,7.58947,2019/01/11,09:53:41.625,-104.92,27.26,115,875,110,JAF451  
44A88C,10760,49.85400,7.59267,2019/01/11,09:53:42.673,-105.17,27.08,115,875,110,JAF451  
4CA643,10242,50.34406,7.62548,2019/01/11,09:53:46.998,-37.44,49.75,2254,766,96,RYR10JF 
4CA643,10219,50.34359,7.63127,2019/01/11,09:53:48.964,-36.97,49.52,2254,744,96,RYR10JF 
4CA643,10181,50.34280,7.64159,2019/01/11,09:53:52.699,-36.1,49.12,2254,742,97,RYR10JF 
4CA643,10174,50.34256,7.64446,2019/01/11,09:53:53.683,-35.86,49,2254,742,97,RYR10JF 
4CA643,10166,50.34238,7.64677,2019/01/11,09:53:54.536,-35.66,48.91,2254,742,97,RYR10JF 
4009DB,11270,49.67345,7.44295,2019/01/11,09:53:55.452,-119.46,46.93,7574,824,119,BAW59T  
4CA643,10151,50.34210,7.65024,2019/01/11,09:53:55.714,-35.36,48.78,2254,742,97,RYR10JF 
4009DB,11270,49.67267,7.44512,2019/01/11,09:53:56.305,-119.64,46.87,7574,824,119,BAW59T  
44A88C,10806,49.84302,7.63839,2019/01/11,09:53:57.090,-109.26,24.62,115,875,110,JAF451  
4CA643,10128,50.34164,7.65595,2019/01/11,09:53:57.679,-34.86,48.56,2254,742,97,RYR10JF 
44A88C,10806,49.84227,7.64159,2019/01/11,09:53:58.073,-109.58,24.45,115,875,110,JAF451  
44A88C,10813,49.84073,7.64789,2019/01/11,09:54:00.040,-110.24,24.14,115,879,110,JAF451  
4CA643,10098,50.34098,7.66452,2019/01/11,09:54:00.630,-34.09,48.24,2254,742,97,RYR10JF 
4CA643,10090,50.34080,7.66682,2019/01/11,09:54:01.481,-33.88,48.15,2254,742,97,RYR10JF 
44A88C,10867,49.83003,7.69251,2019/01/11,09:54:14.065,-115.59,22.07,115,881,110,JAF451  
44A88C,10867,49.82932,7.69534,2019/01/11,09:54:14.918,-115.98,21.95,115,881,110,JAF451  
44A88C,10874,49.82863,7.69822,2019/01/11,09:54:15.900,-116.38,21.83,115,881,110,JAF451  
44A88C,10882,49.82703,7.70496,2019/01/11,09:54:17.933,-117.34,21.55,115,881,110,JAF451  
4CA979,11575,49.81685,7.52927,2019/01/11,09:54:20.751,-107.89,32.92,2350,753,73,RYR8XP  
4009DB,11270,49.64607,7.51797,2019/01/11,09:54:22.650,-126.19,45.16,7574,824,119,BAW59T  
3C4B24,4158,50.10068,7.63926,2019/01/11,09:54:30.778,-62.01,27.72,1000,,,
4009DB,11270,49.63037,7.56091,2019/01/11,09:54:38.314,-130.58,44.5,7574,824,119,BAW59T  
4CA979,11575,49.83101,7.60157,2019/01/11,09:54:46.769,-109.2,27.58,2350,753,73,RYR8XP  
4CA979,11575,49.83215,7.60767,2019/01/11,09:54:48.867,-109.34,27.13,2350,753,73,RYR8XP  
4CA979,11575,49.83261,7.60991,2019/01/11,09:54:49.720,-109.39,26.96,2350,753,73,RYR8XP  
4CA979,11575,49.83315,7.61263,2019/01/11,09:54:50.703,-109.45,26.76,2350,753,73,RYR8XP  
3C4B24,3998,50.10524,7.69778,2019/01/11,09:54:52.407,-55.89,24.94,1000,,,
4CA979,11575,49.83422,7.61820,2019/01/11,09:54:52.733,-109.59,26.35,2350,753,73,RYR8XP  
3C4B24,3990,50.10503,7.70192,2019/01/11,09:54:53.849,-55.47,24.72,1000,,,
4CA979,11575,49.83529,7.62377,2019/01/11,09:54:54.699,-109.72,25.95,2350,753,73,RYR8XP  
4CA979,11575,49.83586,7.62654,2019/01/11,09:54:55.684,-109.79,25.74,2350,753,73,RYR8XP  
3C4B24,3982,50.10471,7.70705,2019/01/11,09:54:55.748,-54.94,24.44,1000,707,94,
4CA979,11575,49.83691,7.63210,2019/01/11,09:54:57.780,-109.94,25.34,2350,753,73,RYR8XP  
4CA979,11575,49.83755,7.63543,2019/01/11,09:54:58.830,-110.03,25.09,2350,753,73,RYR8XP  
4CA979,11575,49.83813,7.63824,2019/01/11,09:54:59.943,-110.1,24.88,2350,753,73,RYR8XP  
4CA979,11575,49.83865,7.64099,2019/01/11,09:55:00.860,-110.18,24.68,2350,753,73,RYR8XP  
4CA979,11575,49.83907,7.64323,2019/01/11,09:55:01.712,-110.24,24.52,2350,753,73,RYR8XP  
3C4B24,3975,50.10292,7.72389,2019/01/11,09:55:01.845,-53.24,23.48,1000,707,100,DLH507  
3C4B24,3975,50.10273,7.72495,2019/01/11,09:55:02.433,-53.14,23.41,1000,707,100,DLH507  
4CA979,11575,49.83962,7.64604,2019/01/11,09:55:02.629,-110.32,24.31,2350,753,73,RYR8XP  
4CA979,11575,49.84004,7.64827,2019/01/11,09:55:03.483,-110.39,24.15,2350,753,73,RYR8XP  
3C4B24,3967,50.10214,7.72895,2019/01/11,09:55:03.810,-52.73,23.17,1000,707,102,DLH507  
4CA979,11575,49.84058,7.65104,2019/01/11,09:55:04.401,-110.47,23.95,2350,753,73,RYR8XP  
4CA979,11575,49.84319,7.66441,2019/01/11,09:55:09.184,-110.88,22.97,2350,751,73,RYR8XP  
4CA979,11575,49.84360,7.66658,2019/01/11,09:55:10.167,-110.95,22.81,2350,751,73,RYR8XP  
4CA979,11575,49.84413,7.66935,2019/01/11,09:55:11.084,-111.04,22.61,2350,751,73,RYR8XP  
4CA979,11575,49.84511,7.67438,2019/01/11,09:55:12.921,-111.21,22.25,2350,751,73,RYR8XP  
3C4B24,3960,50.09538,7.76392,2019/01/11,09:55:16.984,-48.97,21.01,1000,707,102,DLH507  
4CA979,11575,49.84785,7.68884,2019/01/11,09:55:18.033,-111.76,21.2,2350,751,73,RYR8XP  
4009DB,11278,49.58749,7.67781,2019/01/11,09:55:20.980,-144.5,44.13,7574,822,119,BAW59T  
3C4B24,3960,50.09323,7.77483,2019/01/11,09:55:21.178,-47.6,20.35,1000,713,106,DLH507  
3C4B24,3960,50.09295,7.77639,2019/01/11,09:55:21.767,-47.39,20.26,1000,713,106,DLH507  
3C4B24,3960,50.09216,7.78042,2019/01/11,09:55:23.209,-46.84,20.02,1000,713,106,DLH507  
4CA979,11575,49.85093,7.70498,2019/01/11,09:55:23.865,-112.43,20.03,2350,751,73,RYR8XP  
3C4B24,3960,50.09170,7.78277,2019/01/11,09:55:24.191,-46.51,19.88,1000,713,106,DLH507  
3C4B24,3960,50.09123,7.78545,2019/01/11,09:55:25.176,-46.12,19.73,1000,713,106,DLH507  
4CA979,11575,49.85242,7.71277,2019/01/11,09:55:26.682,-112.78,19.47,2350,751,73,RYR8XP  
4CA979,11575,49.85349,7.71834,2019/01/11,09:55:28.650,-113.05,19.07,2350,750,73,RYR8XP  
3C4B24,3952,50.08717,7.80673,2019/01/11,09:55:33.105,-42.78,18.51,1000,713,106,DLH507  
4CA979,11575,49.85596,7.73112,2019/01/11,09:55:33.303,-113.7,18.15,2350,750,73,RYR8XP  
4CA979,11575,49.85693,7.73616,2019/01/11,09:55:35.073,-113.98,17.79,2350,750,73,RYR8XP  
3C4B24,3937,50.08560,7.81469,2019/01/11,09:55:36.186,-41.39,18.07,1000,716,106,DLH507  
3C4B24,3929,50.08499,7.81789,2019/01/11,09:55:37.301,-40.8,17.9,1000,716,106,DLH507  
4CA979,11575,49.85847,7.74388,2019/01/11,09:55:37.890,-114.42,17.24,2350,750,73,RYR8XP  
4CA979,11575,49.85898,7.74666,2019/01/11,09:55:38.808,-114.6,17.04,2350,750,73,RYR8XP  
3C4B24,3921,50.08397,7.82323,2019/01/11,09:55:39.268,-39.77,17.61,1000,716,106,DLH507  
4CA979,11575,49.85944,7.74890,2019/01/11,09:55:39.724,-114.73,16.88,2350,750,73,RYR8XP  
4CA979,11575,49.85985,7.75114,2019/01/11,09:55:40.511,-114.88,16.72,2350,751,73,RYR8XP  
4CA979,11575,49.86287,7.76668,2019/01/11,09:55:46.083,-115.96,15.62,2350,751,73,RYR8XP  
4CA979,11575,49.86341,7.76949,2019/01/11,09:55:46.999,-116.17,15.42,2350,751,73,RYR8XP  
3C4B24,3883,50.08001,7.84342,2019/01/11,09:55:47.064,-35.47,16.56,1000,716,106,DLH507  
3C4B24,3868,50.07866,7.85038,2019/01/11,09:55:49.490,-33.8,16.21,1000,714,106,DLH507  
3C4B24,3868,50.07843,7.85139,2019/01/11,09:55:49.948,-33.56,16.16,1000,714,106,DLH507  
3C4B24,3861,50.07801,7.85352,2019/01/11,09:55:50.866,-33.02,16.06,1000,714,106,DLH507  
4CA979,11575,49.86543,7.78005,2019/01/11,09:55:50.868,-117.04,14.68,2350,750,73,RYR8XP  
4CA979,11575,49.86584,7.78230,2019/01/11,09:55:51.720,-117.25,14.52,2350,750,73,RYR8XP  
3C4B24,3853,50.07741,7.85671,2019/01/11,09:55:51.852,-32.2,15.91,1000,713,107,DLH507  
4CA979,11575,49.86649,7.78562,2019/01/11,09:55:52.834,-117.54,14.29,2350,750,73,RYR8XP  
3C4B24,3845,50.07657,7.86094,2019/01/11,09:55:53.556,-31.08,15.7,1000,713,107,DLH507  
3C4B24,3845,50.07634,7.86205,2019/01/11,09:55:54.013,-30.78,15.65,1000,713,107,DLH507  
3C4B24,3845,50.07615,7.86309,2019/01/11,09:55:54.407,-30.49,15.6,1000,713,107,DLH507  
A4CB6F,4569,49.91471,7.56609,2019/01/11,09:55:56.111,-94.84,27.2,,731,79,
3C4B24,3822,50.07396,7.87415,2019/01/11,09:55:58.600,-27.3,15.1,1000,713,107,DLH507  
3C4B24,3807,50.07262,7.88081,2019/01/11,09:56:01.027,-25.23,14.81,1000,711,107,DLH507  
3C4B24,3807,50.07210,7.88343,2019/01/11,09:56:02.074,-24.38,14.7,1000,711,107,DLH507  
4CA979,11575,49.87138,7.81121,2019/01/11,09:56:02.076,-120.3,12.53,2350,750,73,RYR8XP  
3C4B24,3792,50.07107,7.88870,2019/01/11,09:56:04.105,-22.61,14.49,1000,711,107,DLH507  
4CA979,11575,49.87258,7.81729,2019/01/11,09:56:04.238,-121.07,12.12,2350,750,73,RYR8XP  
A4CB6F,4660,49.91771,7.59097,2019/01/11,09:56:05.024,-94.67,25.39,6437,735,79,
3C4B24,3784,50.06996,7.89420,2019/01/11,09:56:06.203,-20.69,14.27,1000,711,107,DLH507  
A4CB6F,4713,49.91941,7.60499,2019/01/11,09:56:10.135,-94.57,24.37,6437,735,79,
A4CB6F,4790,49.92210,7.62755,2019/01/11,09:56:18.065,-94.39,22.73,6437,740,79,GTI545  
A4CB6F,5125,49.93538,7.73770,2019/01/11,09:56:56.667,-92.93,14.74,6437,740,79,GTI545  
A4CB6F,5163,49.93668,7.74870,2019/01/11,09:57:00.535,-92.7,13.94,6437,761,79,GTI545  
A4CB6F,5178,49.93739,7.75483,2019/01/11,09:57:02.632,-92.56,13.5,6437,761,79,GTI545  
A4CB6F,5208,49.93845,7.76329,2019/01/11,09:57:05.581,-92.33,12.89,6437,763,79,GTI545  
A4CB6F,5239,49.93956,7.77320,2019/01/11,09:57:08.860,-92.08,12.17,6437,763,79,GTI545  
A4CB6F,5361,49.94366,7.81106,2019/01/11,09:57:21.771,-90.83,9.45,6437,770,80,GTI545  
A4CB6F,5376,49.94398,7.81460,2019/01/11,09:57:22.949,-90.71,9.19,6437,770,80,GTI545  
A4CB6F,5391,49.94453,7.82053,2019/01/11,09:57:24.918,-90.47,8.77,6437,770,80,GTI545  
A4CB6F,5406,49.94481,7.82321,2019/01/11,09:57:25.966,-90.34,8.57,6437,770,80,GTI545  
A4CB6F,5414,49.94508,7.82653,2019/01/11,09:57:27.013,-90.22,8.34,6437,770,80,GTI545  
A4CB6F,5422,49.94531,7.82920,2019/01/11,09:57:27.931,-90.1,8.14,6437,770,80,GTI545  
A4CB6F,5452,49.94604,7.83815,2019/01/11,09:57:30.880,-89.7,7.5,6437,775,82,GTI545  
A4CB6F,5460,49.94627,7.84112,2019/01/11,09:57:31.928,-89.56,7.29,6437,775,82,GTI545  
A4CB6F,5498,49.94733,7.85457,2019/01/11,09:57:36.450,-88.78,6.33,6437,775,82,GTI545  
A4CB6F,5513,49.94757,7.85790,2019/01/11,09:57:37.435,-88.56,6.1,6437,775,82,GTI545  
A4CB6F,5521,49.94774,7.86057,2019/01/11,09:57:38.351,-88.39,5.91,6437,779,83,GTI545  
A4CB6F,5536,49.94815,7.86657,2019/01/11,09:57:40.385,-87.95,5.48,6437,781,83,GTI545  
